# ============================================================
# TECHNICAL MACHINES (TMs/TRs/HMs) - Complete Reference
# Based on Pokémon Gen IX (Scarlet/Violet) - 229 TMs
# Source: bulbapedia.bulbagarden.net
# ============================================================

## TM FORMATS BY GENERATION
- Gen I-V: Single-use TMs
- Gen V onward: Infinite-use TMs
- Gen VIII (SwSh): 100 TMs + 100 TRs (TRs are single-use)
- Gen VIII (BDSP): 100 TMs
- Gen IX (SV): 229 TMs (infinite use)
- Legends Z-A: 107 base + 53 Mega Dimension TMs = 160 total
- Cobblemon: Uses Gen IX style with craftable/renewable TMs

## TM MOVE LIST (Gen IX - most relevant for Cobblemon)

### TM001-TM050
- TM001: Take Down (Normal, 90 BP, 85% Acc, Physical)
- TM002: Charm (Fairy, -, 100% Acc, Status — -2 Atk)
- TM003: Fake Tears (Dark, -, 100% Acc, Status — -2 SpD)
- TM004: Agility (Psychic, -, -, Status — +2 Spe)
- TM005: Mud-Slap (Ground, 20 BP, 100% Acc, Special — -1 Acc)
- TM006: Scary Face (Normal, -, 100% Acc, Status — -2 Spe)
- TM007: Protect (Normal, -, -, Status — blocks all moves)
- TM008: Fire Fang (Fire, 65 BP, 95% Acc, Physical — may burn/flinch)
- TM009: Thunder Fang (Electric, 65 BP, 95% Acc, Physical — may paralyze/flinch)
- TM010: Ice Fang (Ice, 65 BP, 95% Acc, Physical — may freeze/flinch)
- TM011: Water Pulse (Water, 60 BP, 100% Acc, Special — may confuse)
- TM012: Low Kick (Fighting, Varies, 100% Acc, Physical)
- TM013: Acid Spray (Poison, 40 BP, 100% Acc, Special — -2 SpD)
- TM014: Acrobatics (Flying, 55 BP*, 100% Acc, Physical — 2x if no item)
- TM015: Struggle Bug (Bug, 50 BP, 100% Acc, Special — -1 SpA)
- TM016: Psybeam (Psychic, 65 BP, 100% Acc, Special — may confuse)
- TM017: Confuse Ray (Ghost, -, 100% Acc, Status — confuses)
- TM018: Thief (Dark, 60 BP, 100% Acc, Physical — steals item)
- TM019: Disarming Voice (Fairy, 40 BP, -, Special — never misses)
- TM020: Trailblaze (Grass, 50 BP, 100% Acc, Physical — +1 Spe)
- TM021: Pounce (Bug, 50 BP, 100% Acc, Physical — -1 Spe)
- TM022: Chilling Water (Water, 50 BP, 100% Acc, Special — -1 Atk)
- TM023: Charge Beam (Electric, 50 BP, 90% Acc, Special — 70% +1 SpA)
- TM024: Fire Spin (Fire, 35 BP, 85% Acc, Special — traps 4-5 turns)
- TM025: Facade (Normal, 70 BP, 100% Acc, Physical — 2x if statused)
- TM026: Poison Tail (Poison, 50 BP, 100% Acc, Physical — high crit, may poison)
- TM027: Aerial Ace (Flying, 60 BP, -, Physical — never misses)
- TM028: Bulldoze (Ground, 60 BP, 100% Acc, Physical — -1 Spe all)
- TM029: Hex (Ghost, 65 BP, 100% Acc, Special — 2x if target statused)
- TM030: Snarl (Dark, 55 BP, 95% Acc, Special — -1 SpA)
- TM031: Metal Claw (Steel, 50 BP, 95% Acc, Physical — may +1 Atk)
- TM032: Swift (Normal, 60 BP, -, Special — never misses)
- TM033: Magical Leaf (Grass, 60 BP, -, Special — never misses)
- TM034: Icy Wind (Ice, 55 BP, 95% Acc, Special — -1 Spe)
- TM035: Mud Shot (Ground, 55 BP, 95% Acc, Special — -1 Spe)
- TM036: Rock Tomb (Rock, 60 BP, 95% Acc, Physical — -1 Spe)
- TM037: Draining Kiss (Fairy, 50 BP, 100% Acc, Special — heals 75%)
- TM038: Flame Charge (Fire, 50 BP, 100% Acc, Physical — +1 Spe)
- TM039: Low Sweep (Fighting, 65 BP, 100% Acc, Physical — -1 Spe)
- TM040: Air Cutter (Flying, 60 BP, 95% Acc, Special — high crit)
- TM041: Stored Power (Psychic, 20+B, 100% Acc, Special)
- TM042: Night Shade (Ghost, Fixed=Level, 100% Acc, Special)
- TM043: Fling (Dark, Varies, 100% Acc, Physical)
- TM044: Dragon Tail (Dragon, 60 BP, 90% Acc, Physical — forces switch)
- TM045: Venoshock (Poison, 65 BP, 100% Acc, Special — 2x if poisoned)
- TM046: Avalanche (Ice, 60 BP, 100% Acc, Physical — 2x if hit first)
- TM047: Endure (Normal, -, -, Status — survive at 1 HP)
- TM048: Volt Switch (Electric, 70 BP, 100% Acc, Special — user switches)
- TM049: Sunny Day (Fire, -, -, Status — 5 turns sun)
- TM050: Rain Dance (Water, -, -, Status — 5 turns rain)

### TM051-TM100
- TM051: Sandstorm (Rock, -, -, Status — 5 turns sand)
- TM052: Snowscape (Ice, -, -, Status — 5 turns snow, +1 Def Ice)
- TM053: Smart Strike (Steel, 70 BP, -, Physical — never misses)
- TM054: Psyshock (Psychic, 80 BP, 100% Acc, Special — hits Def)
- TM055: Dig (Ground, 80 BP, 100% Acc, Physical — 2-turn charge)
- TM056: Bullet Seed (Grass, 25 BP, 100% Acc, Physical — 2-5 hits)
- TM057: False Swipe (Normal, 40 BP, 100% Acc, Physical — leaves 1 HP)
- TM058: Brick Break (Fighting, 75 BP, 100% Acc, Physical — breaks screens)
- TM059: Zen Headbutt (Psychic, 80 BP, 90% Acc, Physical — may flinch)
- TM060: U-turn (Bug, 70 BP, 100% Acc, Physical — user switches)
- TM061: Shadow Claw (Ghost, 70 BP, 100% Acc, Physical — high crit)
- TM062: Foul Play (Dark, 95 BP, 100% Acc, Physical — uses target's Atk)
- TM063: Psychic Fangs (Psychic, 85 BP, 100% Acc, Physical — breaks screens)
- TM064: Bulk Up (Fighting, -, -, Status — +1 Atk, +1 Def)
- TM065: Air Slash (Flying, 75 BP, 95% Acc, Special — may flinch)
- TM066: Body Slam (Normal, 85 BP, 100% Acc, Physical — may paralyze)
- TM067: Fire Punch (Fire, 75 BP, 100% Acc, Physical — may burn)
- TM068: Thunder Punch (Electric, 75 BP, 100% Acc, Physical — may paralyze)
- TM069: Ice Punch (Ice, 75 BP, 100% Acc, Physical — may freeze)
- TM070: Sleep Talk (Normal, -, -, Status — use random move while asleep)
- TM071: Seed Bomb (Grass, 80 BP, 100% Acc, Physical)
- TM072: Electro Ball (Electric, Varies, 100% Acc, Special)
- TM073: Drain Punch (Fighting, 75 BP, 100% Acc, Physical — heals 50%)
- TM074: Reflect (Psychic, -, -, Status — team +50% Def, 5 turns)
- TM075: Light Screen (Psychic, -, -, Status — team +50% SpD, 5 turns)
- TM076: Rock Blast (Rock, 25 BP, 90% Acc, Physical — 2-5 hits)
- TM077: Waterfall (Water, 80 BP, 100% Acc, Physical — may flinch)
- TM078: Dragon Claw (Dragon, 80 BP, 100% Acc, Physical)
- TM079: Dazzling Gleam (Fairy, 80 BP, 100% Acc, Special — hits all)
- TM080: Metronome (Normal, -, -, Status — random move)
- TM081: Grass Knot (Grass, Varies, 100% Acc, Special — based on weight)
- TM082: Thunder Wave (Electric, -, 90% Acc, Status — paralyzes)
- TM083: Poison Jab (Poison, 80 BP, 100% Acc, Physical — may poison)
- TM084: Stomping Tantrum (Ground, 75 BP, 100% Acc, Physical — 2x if last failed)
- TM085: Rest (Psychic, -, -, Status — full heal + sleep 2 turns)
- TM086: Rock Slide (Rock, 75 BP, 90% Acc, Physical — may flinch, hits all)
- TM087: Taunt (Dark, -, 100% Acc, Status — only attacking moves for 3 turns)
- TM088: Swords Dance (Normal, -, -, Status — +2 Atk)
- TM089: Body Press (Fighting, 80 BP, 100% Acc, Physical — uses Def stat)
- TM090: Spikes (Ground, -, -, Status — entry hazard, 3 layers)
- TM091: Toxic Spikes (Poison, -, -, Status — entry hazard, 2 layers)
- TM092: Imprison (Psychic, -, -, Status — blocks shared moves)
- TM093: Flash Cannon (Steel, 80 BP, 100% Acc, Special — may -1 SpD)
- TM094: Dark Pulse (Dark, 80 BP, 100% Acc, Special — may flinch)
- TM095: Leech Life (Bug, 80 BP, 100% Acc, Physical — heals 50%)
